開始日時,終了日時,タスク名,詳細,想定時間(分),実行時間(分),タスク合計(分),達成度(%)
2025-12-30 00:47,2025-12-30 00:48,"k","",1,1,1.0,
2025-12-30 08:39,2025-12-30 08:39,"割り込みタスク","",15,1,1.0,
2025-12-30 08:43:52,2025-12-30 08:43:55,"割り込みタスク","",15,0.1,1.1,undefined
2025-12-30 08:55:28,2025-12-30 08:55:31,"紙整理、処分","sddddddddddddddddddddddddddddddddddddddddddddddd",90,0.1,0.1,undefined
2025-12-30 08:56:12,2025-12-30 08:56:14,"割り込みタスク","",15,0,1.1,undefined
2025-12-30 08:59:50,2025-12-30 08:59:55,"紙整理、処分","",90,0.1,0.2,undefined
2025-12-30 09:20:00,2025-12-30 09:21:00,"紙整理、処分","",90,1,1.2,
2025-12-30 09:23:45,2025-12-30 09:24:45,"d","",0,1,2.1,2
2025-12-30 09:27:35,2025-12-30 09:28:09,"タイムボクシング作成","dfdf",90,0.6,0.6,4
2025-12-30 09:50:39,2025-12-30 09:50:42,"紙整理、処分","",90,0.1,1.3,
